纹饰,类型,颜色,表面风化
C,高钾,蓝绿,无风化
A,铅钡,浅蓝,风化
A,高钾,蓝绿,无风化
A,高钾,蓝绿,无风化
A,高钾,蓝绿,无风化
A,高钾,蓝绿,无风化
B,高钾,蓝绿,风化
C,铅钡,紫,风化
B,高钾,蓝绿,风化
B,高钾,蓝绿,风化
C,铅钡,浅蓝,风化
B,高钾,蓝绿,风化
C,高钾,浅蓝,无风化
C,高钾,深绿,无风化
C,高钾,浅蓝,无风化
C,高钾,浅蓝,无风化
C,高钾,浅蓝,无风化
A,高钾,深蓝,无风化
A,铅钡,无,风化
A,铅钡,浅蓝,无风化
A,高钾,蓝绿,无风化
B,高钾,蓝绿,风化
A,铅钡,蓝绿,风化
C,铅钡,紫,无风化
C,铅钡,浅蓝,风化
C,铅钡,紫,风化
B,高钾,蓝绿,风化
A,铅钡,浅蓝,风化
A,铅钡,浅蓝,风化
A,铅钡,深蓝,无风化
C,铅钡,紫,无风化
C,铅钡,浅绿,无风化
C,铅钡,深绿,无风化
C,铅钡,深绿,风化
C,铅钡,浅绿,无风化
C,铅钡,深绿,风化
C,铅钡,深绿,无风化
C,铅钡,深绿,风化
C,铅钡,深绿,风化
C,铅钡,无,风化
C,铅钡,浅绿,风化
A,铅钡,浅蓝,风化
C,铅钡,浅蓝,风化
A,铅钡,浅蓝,风化
A,铅钡,浅蓝,无风化
A,铅钡,浅蓝,无风化
A,铅钡,浅蓝,无风化
A,铅钡,无,风化
A,铅钡,黑,风化
A,铅钡,黑,风化
C,铅钡,浅蓝,风化
C,铅钡,浅蓝,风化
A,铅钡,浅蓝,风化
C,铅钡,浅蓝,风化
C,铅钡,绿,无风化
C,铅钡,蓝绿,风化
C,铅钡,蓝绿,风化
C,铅钡,无,风化
